,0,1,2,3,4,_tempm,6,7,datetime_utc
88,0.733333333,0.507418398,0.376344086,0.976190476,0.761904762,0.6,0.861111111,0.181818182,10-09-1998 9.30
89,0.833333333,0.40727003,0.634408602,0.977272727,0.642857143,0.35,0.166666667,0.137592138,10-09-1998 14.30
90,0.766666667,0.146884273,0.720430108,0.983766234,0.547619048,0.1,0,0,09-10-1998 17.30
91,0.733333333,0.070103858,1,0.981601732,0.404761905,0.08,0,0,17-10-1998 20.30
92,0.6,0.100148368,0.47311828,0.982683983,0.571428571,0.4,0.833333333,0.363636364,20-10-1998 8.30
93,0.633333333,0.18694362,0.451612903,0.985930736,0.619047619,0.4,0.916666667,0.228501229,23-10-1998 7.30
94,0.4,0.031931364,0.52688172,0.99025974,0.380952381,0.06,0,0,02-11-1998 16.30
95,0.566666667,0.027697283,0.709677419,0.989177489,0.404761905,0.08,0,0,05-11-1998 19.30
96,0.5,0.003286118,0.935483871,0.99025974,0.261904762,0.05,0.611111111,0.090909091,09-11-1998 23.30
97,0.333333333,0.006676558,0.344086022,0.987012987,0.476190476,0.3,0.805555556,0.090909091,13-11-1998 11.30
98,0.266666667,0.011355794,0.516129032,0.991341991,0.285714286,0.28,0.722222222,0.272727273,21-11-1998 3.30
99,0.233333333,0.015378668,0.268817204,0.989177489,0.476190476,0.5,0.888888889,0.545454545,26-11-1998 8.30
100,0.266666667,0.015713907,0.64516129,0.99025974,0.214285714,0.15,0.611111111,0.090909091,26-11-1998 19.30
101,0.333333333,0.031805399,0.935483871,0.994588745,0.142857143,0.08,0.777777778,0.228501229,27-12-1998 6.30
102,0.366666667,0.037437422,0.935483871,0.989177489,0.166666667,0.12,0.777777778,0.090909091,07-01-1999 12.30
103,0.333333333,0.04575136,0.397849462,0.987012987,0.428571429,0.35,0.333333333,0.228501229,23-01-1999 9.30
104,0.266666667,0.047427557,0.516129032,0.985930736,0.285714286,0.2,0.833333333,0.090909091,27-01-1999 14.30
105,0.233333333,0.051249287,0.806451613,0.992424242,0.119047619,0.06,0,0,01-02-1999 20.30
